element,MT,n_points,E_min_MeV,E_max_MeV,xs_min_barn,xs_max_barn,xs_mean_barn,xs_median_barn,log10_xs_mean,log10_xs_median,auc_log10xs_over_log10E,slope_low,slope_mid,slope_high,xs_at_1em05_MeV,xs_at_0p001_MeV,xs_at_0p1_MeV,xs_at_1_MeV,xs_at_10_MeV,xs_at_1000_MeV,xs_at_100000_MeV,xs_at_1e+07_MeV
Ag,900,84239,1e-05,200000000.0,0.004163929,2312.869,9.01415597442188,5.022145,0.3787965656503717,0.7008892475626443,17.20995741005613,-0.4998017139913383,-0.5515915812945241,1.0328438000357154,632.5454,63.26869000000001,6.4724450000000004,2.66916,0.6339326,0.3962435,33.26899,409.7157999999999
Ag,901,84239,1e-05,200000000.0,0.004397456,4753.056,15.853785815975497,5.110344,0.4198951648003799,0.7084501354132574,19.722459515318633,-0.49980060395868414,-0.5516045505676289,1.1014487348606565,668.0702999999997,66.82205,6.836806,2.822331,0.6704683,0.4079911,109.6214,1583.5550000000007
Al,900,7464,1e-05,200000000.0,0.0140735,1153.011,424.23503229010447,426.85485,2.356446071922004,2.6302802160756564,10.617906742667419,-0.5000007343335194,-0.5010943190733818,0.6458917572235309,63.412359999999985,6.341236,0.6341014,0.2005155,0.06327493,1.21163,173.48440000000005,966.6424000000004
Al,901,7464,1e-05,200000000.0,0.02458746,2504.629,937.7290912404395,949.8706500000001,2.688252631682253,2.97766445653752,13.989325386730044,-0.5000007350461358,-0.5010943079390912,0.6764158811188614,110.78620000000001,11.07862,1.107823,0.3503157,0.11054610000000001,1.31612,378.09959999999984,2087.4799999999996
Ar,900,77045,1e-05,200000000.0,0.001571511,1487.628,161.5766095997252,80.60021,1.8002954576519445,1.9063361733401079,3.8223929081751824,-0.5000019157080641,-0.5113091965421731,1.091289684079515,15.795100000000003,1.579511,0.1579214,0.049869050000000005,0.015522560000000001,1.182457,35.46317,908.8822999999999
Ar,901,77045,1e-05,200000000.0,0.001729066,3423.711,368.46139267994835,182.422,2.1409018360350025,2.2610772128435275,5.667477898403274,-0.5000018846195764,-0.5110767549054808,1.1517423730493195,17.109220000000004,1.710921,0.1710606,0.054019619999999983,0.016819540000000004,1.182551,77.23777999999999,2103.3940000000002
As,900,60475,1e-05,200000000.0,0.02270638,2167.348,35.26575384948111,15.77904,1.1889715983457323,1.1980805771126157,13.165264083367658,-0.49998548753822325,0.23969427313312647,0.5898677266581358,93.48590999999999,9.348772,0.9363671,0.3006273,0.1155235,2.663256,89.07856,789.8973000000003
As,901,60475,1e-05,200000000.0,0.02790842,5365.919,60.177588544087136,25.73934,1.3683033573935297,1.4105974066696532,15.489604760682546,-0.49998548716439856,0.23969426939515123,0.7523136591673888,114.90360000000005,11.490579999999998,1.150889,0.3695012,0.1419901,2.667079,201.85509999999996,1946.8140000000003
Au,900,25159,1e-05,200000000.0,0.07546918,18314.56,65.56829286213602,3.4948,0.5982091141140329,0.5434223270397235,21.36529320165325,-0.49967198978222727,-0.44732560192126125,0.18222125726253363,3309.0539999999983,331.0251999999999,34.339319999999994,15.90769,3.021133,1.03181,22.57155138119175,202.87920000000008
Au,901,25159,1e-05,200000000.0,0.07570096,18371.57,82.45694944886162,3.504527,0.6132035207012471,0.5446294102764303,24.296084363311888,-0.4996719948394631,-0.4473280268801859,0.32437630364467046,3319.3590000000004,332.0560999999999,34.44626,15.957220000000003,3.030535,1.034811,75.68798898975494,1458.6129999999994
Ba,900,136196,1e-05,200000000.0,0.002082344,3711.848,66.77363209625187,5.0915875,0.6599923254930794,0.7068532115181023,7.088731313885091,-0.5000269520806039,0.012680130713370609,0.8628648523347118,21.356929999999995,2.135634,0.21293210000000004,0.06569178999999999,0.020138689999999997,1.146492,32.31096,1407.3400000000004
Ba,901,136196,1e-05,200000000.0,0.002206259,9368.598,160.30626992584885,6.063504,0.7746128047238608,0.7827236683978149,8.952785869017257,-0.5000272579763022,0.013477263955204115,0.9803209497333166,22.96927,2.296862,0.22899959999999997,0.0706288,0.02165264,1.146645,71.58590999999998,3535.4330000000004
Be,900,1172,1e-05,200000000.0,0.00142363,539.3042,135.48165415375598,133.7419,1.2443409787987927,2.1262659327794253,2.8789054731293895,-0.49999941679526305,-0.43671568211371303,0.17889664178855788,4.096946,0.4096951,0.04096878,0.012955969999999999,0.004097693000000001,8.629295,190.6661,123.88540000000003
Be,901,1172,1e-05,200000000.0,0.002708024,1162.078,291.258137265302,287.12595,1.5509675104074576,2.458070835016211,6.473269548257812,-0.4999994253670186,-0.4433813919266128,0.2203926845974789,7.793198,0.7793207,0.07793069000000001,0.024644809999999993,0.007794619999999998,11.41639,405.47139999999985,266.00169999999997
Bi,900,18501,1e-05,200000000.0,4.10549e-05,5321.384,67.104874654966,32.38995,1.397764655123474,1.5104102775952075,-10.789249246983164,-0.5000013243080148,-0.5008989152121853,0.7404851133143161,0.177557,0.017755679999999996,0.0017753199999999993,0.0005608570999999998,0.00017576230000000006,0.00016365159999999992,41.73583000000001,875.7234000000002
Bi,901,18501,1e-05,200000000.0,4.105491e-05,17055.17,181.13911153357319,72.85998,1.693126762680343,1.8624890476924627,-8.865055846226735,-0.5000013243080148,-0.5008989152121853,0.9184519356556617,0.177557,0.017755679999999996,0.0017753199999999993,0.0005608570999999998,0.00017576230000000006,0.00016365159999999992,107.3741,2779.1049999999987
Br,900,78597,1e-05,200000000.0,0.03647034,2621.519,27.86227489304172,12.13658,1.0973025366604567,1.0840963229517584,16.789549106595068,-0.49997875106363016,0.15781196004131165,0.5028346931687068,194.37270000000004,19.43779,1.948383,0.6301641,0.2711701,2.010979,105.49420000000002,980.4829000000004
Br,901,78597,1e-05,200000000.0,0.05329246,8448.801,55.06627276751759,21.31516,1.3051827028754657,1.328688596981101,20.23779850440722,-0.4999785479866444,0.15576611337613083,0.6673422847481499,282.542,28.25495,2.832244,0.9162024,0.3954323,2.055899,309.8497999999999,3145.3140000000003
Ca,900,93235,1e-05,200000000.0,0.007173783,2328.067,228.06592930721365,28.1893,1.6768379921593242,1.450084291554048,8.27760980736359,-0.5000005511087219,-0.4999645465988351,1.0308183894795433,33.02458,3.30245,0.3302419,0.1044022,0.03300188999999999,2.143898,11.648149999999998,1641.7720000000002
