element,log10_xs_mean,log10_xs_median,auc_log10xs_over_log10E,slope_low,slope_mid,slope_high,Z,atomic_mass,peak_xs_barn,energy_at_peak_eV,std_log10_xs,log10_energy_at_peak,peak_to_mean_ratio,peak_to_median_ratio,xs_dynamic_range_log10,peak_width_log10E_halfmax,energy_span_log10,curve_center_log10E,weighted_center_log10E
Ag,0.3787965656503717,0.7008892475626443,17.20995741005613,-0.4998017139913383,-0.5515915812945241,1.0328438000357154,47.0,107.87,2312.869,5.19,0.8019712950989002,0.7151673578484579,256.5818704006101,460.53409449547956,5.744647719538663,7.595018152673531,13.301029995663981,3.2107040939297318,3.505804684395392
Al,2.356446071922004,2.6302802160756564,10.61790674266742,-0.5000007343335194,-0.5010943190733818,0.6458917572235309,13.0,26.982,1153.011,20000000.0,0.7678300885333049,7.301029995663981,2.7178589985268755,2.701178163959013,4.9134313331342385,3.018152410640158,13.301029995663981,5.167464516166009,5.927357273234292
Ar,1.8002954576519443,1.906336173340108,3.8223929081751824,-0.5000019157080641,-0.5113091965421731,1.091289684079515,18.0,39.948,1487.628,1368457.0,0.7684510775137132,6.136231155450111,9.206951449750743,18.45687498829097,5.976176918749265,2.720163337791856,13.301029995663981,5.397403124606108,5.88135725240691
As,1.1889715983457323,1.1980805771126155,13.165264083367658,-0.4999854875382232,0.2396942731331264,0.5898677266581358,33.0,74.922,2167.348,51000000.0,0.5553500177598233,7.707570176097937,61.45758316270587,137.35613826950183,4.979780747701695,1.1706962271689747,13.301029995663981,3.8580480071030503,4.326991760242232
Au,0.5982091141140329,0.5434223270397235,21.36529320165325,-0.4996719897822272,-0.4473256019212612,0.1822212572625336,79.0,196.97,18314.56,4.8997,0.9122536049862906,0.6901694897564418,279.3203727067932,5240.517340048072,5.385026858124122,0.015306070962388785,13.301029995663981,2.798149223281172,0.895067199623196
Ba,0.6599923254930794,0.7068532115181023,7.088731313885091,-0.5000269520806039,0.0126801307133706,0.8628648523347118,56.0,137.33,3711.848,200000000.0,0.9492185883697866,8.301029995663981,55.58852923635335,729.0158521286337,6.2510377076962165,1.129943610777783,13.301029995663981,3.7460959033933463,6.5909741124998105
Be,1.244340978798793,2.1262659327794253,2.878905473129389,-0.499999416795263,-0.436715682113713,0.1788966417885578,4.0,9.0122,539.3042,620500.0,1.5096569208426476,5.792741785834749,3.980643751130705,4.032425141260892,5.578436671236762,0.6855140214868989,13.301029995663981,3.4652242694990565,6.030125230907641
Bi,1.397764655123474,1.5104102775952075,-10.789249246983164,-0.5000013243080148,-0.5008989152121853,0.7404851133143161,83.0,208.98,5321.384,200000000.0,0.8872569771137797,8.301029995663981,79.2995147872793,164.29120761223774,8.112659600845463,0.48811663902112556,13.301029995663981,4.503858110028617,5.743856341762395
Br,1.0973025366604567,1.0840963229517584,16.789549106595068,-0.4999787510636301,0.1578119600413116,0.5028346931687068,35.0,79.904,2621.519,51000000.0,0.5079406733213822,7.707570176097937,94.08847662524117,216.001460048877,4.856613197594496,1.1706962271689747,13.301029995663981,3.597986855595753,4.247781893396013
Ca,1.6768379921593242,1.450084291554048,8.27760980736359,-0.5000005511087219,-0.4999645465988351,1.0308183894795433,20.0,40.078,2328.067,884809.5,0.8238635516946552,5.946849776907537,10.207868431167565,82.58690354141466,5.511247239272589,2.879098079009787,13.301029995663981,5.199724414070319,5.992184356402187
